ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26001587,7/19/2026,1171013,حلاوة بلك رشة فستق ميار,kg,1435,1536.323,1435,0,1.070608362
26001588,7/19/2026,1021031,ميار حلاوة 1200 غم برش فستق 1*6,حبة,840,1331.439,840,0,1.585046429
26001589,7/19/2026,1021011,شيخ الكار حلاوة 6 كغم فستق 1*4,حبة,80,476.22,80,0,5.95275
26001590,7/19/2026,1021005,ميار حلاوة 300 غم رشة فستق 1*12,حبة,1836,733.213,1836,0,0.399353486
26001591,7/19/2026,1021003,شيخ الكار حلاوة 5 كغم سادة (الولاء) 1*1,حبة,1210,6918.673,1210,0,5.71791157
26001592,7/19/2026,1011116,الميلاد طحينية 300 غم مطرة 1*12 قارورة,حبة,600,233.664,600,0,0.38944
26001593,7/19/2026,1011006,شيخ الكار طحينية 300 غم 1*12 جديد,حبة,1404,587.937,1404,0,0.418758547
26001594,7/19/2026,1011025,شيخ الكار طحينية 600 غم 1*12,حبة,1701,1271.689,1701,0,0.747612581
26001595,7/19/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,50,965.35,50,0,19.307
26001596,7/19/2026,1011090,شيخ الكار طحينية 900 غم 1*12 جديد,حبة,2,1.998,2,0,0.999
26001597,7/19/2026,1011047,الميلاد طحينية 900 غم قارورة 1*12,حبة,1200,1233.2,1200,0,1.027666667
