G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Total 6010101,المصاريف الادارية والعمومية,,218382.256,63228.593,155153.663
,,,,,
,,__________________,__________________,__________________,__________________
Total 60101,المصاريف الادارية والعمومية,,218382.256,63228.593,155153.663
,,,,,
,,__________________,__________________,__________________,__________________
Total 601,المصاريف الادارية والعمومية,,218382.256,63228.593,155153.663
,,,,,
602,مصاريف بيعية وتسويقية,,,,
,,,,,
60201,مصاريف بيعية وتسويقية,,,,
,,,,,
6020101,مصاريف بيعية وتسويقية,,,,
,,,,,
6020101001,مصاريف ورواتب وأجور- المبيعات,,119136.598,48104.724,71031.874
6020101002,مصاريف الضمان الاجتماعي - المبيعات,,12839.109,4883.475,7955.634
6020101003,مصاريف تصدير,,17520.95,4231.25,13289.7
6020101004,مصاريف دعاية وإعلان,,1450,250,1200
6020101005,مصاريف تعبئة وتغليف,,5338.568,997.666,4340.902
6020101006,مصاريف معارض,,39738.366,,39738.366
6020101007,مصاريف أدوية وعلاجات,,17.9,,17.9
6020101008,مصاريف نقل وشحن,,16680.52,1360.7,15319.82
6020101009,مصاريف خصم مسموح به,,2.5,35.5,-33
6020101010,مصاريف صيانة سيارات,,21118.018,4108.25,17009.768
6020101011,مصاريف تأمين وترخيص ومخالفات سيارات,,4017.59,14.25,4003.34
6020101012,مصاريف محروقات سيارات,,27234.456,479.505,26754.951
6020101013,مصاريف بيعية,,76116.94,50700.35,25416.59
6020101014,خصم مسموح به,,82870.11,14269.214,68600.896
6020101015,مصاريف تحميل وتنزيل,,33453.563,1210,32243.563
6020101016,مصاريف قبان,,25.5,,25.5
6020101017,مصاريف شحن سيارات,,2465.483,274.6,2190.883
6020101018,مصاريف فحص عينات,,2617.252,,2617.252
6020101019,مصاريف منسقين,,476.05,30,446.05
6020101020,مصاريف بريد,,365.7,,365.7
6020101021,مصاريف تذوق,,52.9,,52.9
6020101022,مصاريف صيانة عامة,,1558.316,,1558.316
6020101023,مصاريف ايجار,,5275.001,,5275.001
6020101024,مصاريف تخزين بضاعة,,14389.471,,14389.471
,,__________________,__________________,__________________,__________________
Total 6020101,مصاريف بيعية وتسويقية,,484760.861,130949.484,353811.377
,,,,,
,,__________________,__________________,__________________,__________________
Total 60201,مصاريف بيعية وتسويقية,,484760.861,130949.484,353811.377
,,,,,
,,__________________,__________________,__________________,__________________
Total 602,مصاريف بيعية وتسويقية,,484760.861,130949.484,353811.377
,,,,,
603,مصاريف التعبئة والتغليف,,,,
,,,,,
60301,مصاريف التعبئة والتغليف,,,,
,,,,,
6030101,مصاريف التعبئة والتغليف,,,,
,,__________________,__________________,__________________,__________________
Total 6030101,مصاريف التعبئة والتغليف,,,,
,,,,,
,,__________________,__________________,__________________,__________________
Total 60301,مصاريف التعبئة والتغليف,,,,
,,,,,
,,__________________,__________________,__________________,__________________
Total 603,مصاريف التعبئة والتغليف,,,,
,,,,,
604,مصاريف مجمع الاهتلاك,,,,
,,,,,
60401,مخصص الاستهلاك,,,,
,,,,,
6040101,مخصص استهلاك,,,,
,,__________________,__________________,__________________,__________________
Total 6040101,مخصص استهلاك,,,,
,,__________________,__________________,__________________,__________________
Total 60401,مخصص الاستهلاك,,,,
,,__________________,__________________,__________________,__________________
Total 604,مصاريف مجمع الاهتلاك,,,,
,,__________________,__________________,__________________,__________________
Total Operating Costs,,,703143.117,194178.077,508965.04
,,,,,
Non-Operating Income and Expenditure,,,,,
,,,,,
701,الايرادات والمصروفات الأخرى,,,,
,,,,,
70101,الايرادات الأخرى,,,,
,,,,,
7010101,ايرادات أخرى,,,,
,,,,,
7010101001,ايرادات فروق اسعار عملة اجنبية,,,,
,,__________________,__________________,__________________,__________________
Total 7010101,ايرادات أخرى,,,,
,,__________________,__________________,__________________,__________________
Total 70101,الايرادات الأخرى,,,,
,,__________________,__________________,__________________,__________________
Total 701,الايرادات والمصروفات الأخرى,,,,
,,__________________,__________________,__________________,__________________
Total Non-Operating Income and Expenditure,,,,,
,,,,,
Taxation and Extraordinary Items,,,,,
,,__________________,__________________,__________________,__________________
Total Taxation and Extraordinary Items,,,,,
,,,,,
#9,,,,,
,,__________________,__________________,__________________,__________________
Total #9,,,,,
,,,,,
#10,,,,,
,,__________________,__________________,__________________,__________________
Total #10,,,,,
,,,,,
,,=============,=============,=============,=============
Total,,,267798187.4,267798187.4,
,,,,,
Customers:,,,,,
,,,,,
Customers,,,,,
,,,,,
110000589,مديرية الدفاع المدني شرق عمان,,363.1,363.1,
110000591,سوبر ماركت أم الشقف - غسان التعمري,1656.836,286.585,1233.873,709.548
110000756,مفلس,,127.716,,127.716
,,__________________,__________________,__________________,__________________
Total Customers,,1656.836,777.401,1596.973,837.264
,,,,,
OOH Wholesale,,,,,
,,,,,
110000692,شركة الحلول الدولية للمواد الغذائية,,600000,2216004,-1616004
,,__________________,__________________,__________________,__________________
Total OOH Wholesale,,,600000,2216004,-1616004
,,,,,
Whole sales,,,,,
,,,,,
110000059,محلات الرائد الاستهلاكية  - دير علا,,1656.288,1149.34,506.948
110000115,اسواق الاديب - الاغوار الشمالية,700.04,882.908,1141.454,441.494
110000191,شركة محمد حمد صابر الجعيدي و شركاه,184.873,8513.617,8305.832,392.658
110000192,شركة شمس الاردن للتسويق - فرع الجملة,277.433,12862.981,11442.106,1698.308
110000339,أسواق أبو حبل للتموين - الظليل,,7060.512,5805.008,1255.504
110000353,مؤسسة أحمد عبدالله للمواد التموينية,5396.048,15523.783,19536.131,1383.7
110000362,محلات ابو هشام للمواد التموينية,,99.99,,99.99
110000370,شركة خالد حطاب وشريكه,,4438.09,4438.151,-0.061
110000571,بقالة زكريا البطاينة,641.667,301.92,319.488,624.099
